VIN (1-10),Model Year,Base MSRP,vehicle_id
1G1FZ6S04P,2023,0.0,41
1G1FZ6S04P,2023,0.0,262
7SAYGDEE8P,2023,0.0,92
7SAYGDEE8P,2023,0.0,486
7SAYGDEE8P,2023,0.0,536
JTMFB3FV9R,2024,0.0,263
7SAYGDEE0P,2023,0.0,112
7SAYGDEE0P,2023,0.0,341
JA4T5VA99R,2024,0.0,264
1V2DNPE82P,2023,0.0,265
JN1DF0BB6R,2024,0.0,266
7PDSGABA4P,2023,0.0,267
ZACPDFCW4R,2024,0.0,268
5YJSA1E64P,2023,0.0,269
2C4RC1L74P,2023,0.0,270
7SAYGDEF2P,2023,0.0,271
7SAYGDEDXR,2024,0.0,272
1V2JNPE81P,2023,0.0,273
3FMTK3SU6P,2023,0.0,274
WBY33AW06P,2023,0.0,275
1GYKPTRLXR,2024,0.0,276
1G1FX6S06P,2023,0.0,277
1G1FX6S06P,2023,0.0,531
KNDC4DLC9P,2023,0.0,278
1G1FX6S07P,2023,0.0,279
7FCTGBAA6P,2023,0.0,280
JTMABABAXR,2024,0.0,281
JTMABABAXR,2024,0.0,352
1G1FY6S07P,2023,0.0,282
1G1FY6S07P,2023,0.0,308
5YJ3E1EA5P,2023,0.0,283
1FTVW1EL8P,2023,0.0,284
7SAYGDEE0R,2024,0.0,48
7SAYGDEE0R,2024,0.0,258
7SAYGDEE2P,2023,0.0,77
7SAYGDEE2P,2023,0.0,183
7SAYGDEE2P,2023,0.0,663
KM8JFDA28P,2023,0.0,285
1V2DNPE8XP,2023,0.0,286
7SAXCBE55P,2023,0.0,287
3FMTK4SX8P,2023,0.0,288
JTMABABA7R,2024,0.0,289
1V2WNPE82P,2023,0.0,290
1V2WNPE82P,2023,0.0,304
KMUKCDSC6R,2024,0.0,291
YV4H60CW0P,2023,0.0,292
1V2VMPE87P,2023,0.0,293
3FMTK4SX0P,2023,0.0,294
7SAYGAEE9P,2023,0.0,234
7SAYGDEE4R,2024,0.0,220
7SAYGDEE4R,2024,0.0,506
7SAYGDEE4R,2024,0.0,543
1G1FW6S05P,2023,0.0,295
7SAYGAEE6R,2024,0.0,105
7SAYGAEE6R,2024,0.0,637
4JGDM2EB4P,2023,0.0,296
KM8KNDAFXP,2023,0.0,297
1G1FZ6S08P,2023,0.0,298
WBY43AW07R,2024,0.0,299
1N4CZ1CV9P,2023,0.0,300
7SAYGDEE6P,2023,0.0,142
7SAYGDEE6P,2023,0.0,182
7SAYGDEE6P,2023,0.0,367
7SAYGDEE5R,2024,0.0,162
7SAYGDEE5R,2024,0.0,301
7SAYGAEE3P,2023,0.0,124
7SAYGAEE3P,2023,0.0,722
7SAYGDEEXP,2023,0.0,101
7SAYGDEEXP,2023,0.0,107
7SAYGDEEXP,2023,0.0,439
7SAYGDEE3P,2023,0.0,70
7SAYGDEE3P,2023,0.0,351
JTMFB3FV2P,2023,0.0,302
7SAYGAEE3R,2024,0.0,303
7SAYGAEE3R,2024,0.0,562
5YJ3E1EA2P,2023,0.0,195
1V2WNPE82P,2023,0.0,290
1V2WNPE82P,2023,0.0,304
7SAXCBE51R,2024,0.0,305
JN1BF0BA4R,2024,0.0,306
7SAYGDEEXP,2023,0.0,101
7SAYGDEEXP,2023,0.0,107
7SAYGDEEXP,2023,0.0,439
JN1DF0BB1P,2023,0.0,307
1G1FY6S07P,2023,0.0,282
1G1FY6S07P,2023,0.0,308
5YJ3E1EA2P,2023,0.0,195
7SAYGAEE0P,2023,0.0,309
